"","GEOID","NAME.x","TotalPopE","TotalPopM","WhitePopE","WhitePopM","Pct_White","Pct_White_moe","sum_under200","pct_under200","U200_moe_sum","U200_moe_prop","PercLEPE","PercLEPM"
"936","48201320800","Census Tract 3208, Harris County, Texas",5175,496,299,91,5.77777777777778,1.66898045905983,3041,59.0141665049486,936.23714944452,0.172654979413079,28.8,8.7
"937","48201321200","Census Tract 3212, Harris County, Texas",3747,498,396,216,10.568454763811,5.5908680971494,2383,64.1280947255113,806.525263088516,0.199597508351085,25,9.1
"938","48201321600","Census Tract 3216, Harris County, Texas",6862,525,804,159,11.7167006703585,2.13668321120846,2965,43.208976974643,982.532951101387,0.139316106579747,18,8.1
"939","48201322900","Census Tract 3229, Harris County, Texas",3972,300,395,138,9.94461228600201,3.39215926119699,1679,42.5602027883397,625.538967611131,0.155512619906042,26.3,9.3
"940","48201323100","Census Tract 3231, Harris County, Texas",3797,339,352,165,9.27047669212536,4.26598553521303,2610,68.7384777455886,688.199825632062,0.170542141939586,12.9,5.8
"941","48201332800","Census Tract 3328, Harris County, Texas",4821,524,211,98,4.37668533499274,1.97632743691017,3998,85.0819323260268,908.601122605514,0.167970078621873,41.6,7
"942","48201322800","Census Tract 3228, Harris County, Texas",6625,461,655,171,9.88679245283019,2.48775762053721,3205,48.9014342386329,960.591484451117,0.142436238797437,12,4.9
"943","48201330900","Census Tract 3309, Harris County, Texas",11862,1080,1042,243,8.78435339740347,1.88598211802043,6191,52.1918732085652,1998.43363662645,0.16163315818449,7,4
"944","48201332500","Census Tract 3325, Harris County, Texas",3108,547,119,61,3.82882882882883,1.84336869465923,1724,55.4697554697555,865.72339693461,0.260878519854894,9.7,7.1
"945","48201341100","Census Tract 3411, Harris County, Texas",4279,457,1813,288,42.3697125496611,4.98232693033077,1434,34.9415204678363,602.412649269585,0.141559321505955,11.5,5.6
"946","48201341400","Census Tract 3414, Harris County, Texas",5020,480,4030,440,80.2788844621514,4.23109297022912,383,7.8596347219372,514.317995018646,0.10525772531956,2.7,1.5
"947","48201341600","Census Tract 3416, Harris County, Texas",6451,495,4375,552,67.818942799566,6.79252847275577,1372,21.4140783518027,734.975509796075,0.113529723275047,2.9,2.4
